,State/UT,Rural_Government_Hospitals,Rural_Government_Beds,Urban_Government_Hospitals,Urban_Government_Beds,Last_Updated
0,andhra pradesh,193,6480,65,16658,2017-01-01
1,arunachal pradesh,208,2136,10,268,2017-12-31
2,assam,1176,10944,50,6198,2017-12-31
3,bihar,930,6083,103,5936,2016-12-31
4,chhattisgarh,169,5070,45,4342,2016-01-01
5,goa,17,1405,25,1608,2017-12-31
6,gujarat,364,11715,122,20565,2016-12-31
7,haryana,609,6690,59,4550,2016-12-31
8,himachal pradesh,705,5665,96,6734,2017-12-31
9,jammu and kashmir,56,7234,76,4417,2016-12-30
10,jharkhand,519,5842,36,4942,2015-12-31
11,karnataka,2471,21072,374,49093,2017-12-31
12,kerala,981,16865,299,21139,2017-01-01
13,madhya pradesh,334,10020,117,18819,2016-01-01
14,maharashtra,273,12398,438,39048,2015-12-31
15,manipur,23,730,7,697,2014-01-01
16,meghalaya,143,1970,14,2487,2017-12-31
17,mizoram,56,604,34,1393,2017-12-31
18,nagaland,21,630,15,1250,2015-12-31
19,orissa,1655,6339,149,12180,2017-12-31
20,punjab,510,5805,172,12128,2017-12-31
21,rajasthan,602,21088,150,10760,2016-12-31
22,sikkim,24,260,9,1300,2017-12-31
23,tamil nadu,692,40179,525,37353,2017-12-31
24,telangana,802,7668,61,13315,2017-12-31
25,tripura,99,1140,56,3277,2017-12-31
26,uttar pradesh,4442,39104,193,37156,2017-12-31
27,uttarakhand,410,3284,50,5228,2015-12-31
28,west bengal,1272,19684,294,58882,2015-01-01
29,andaman and nicobar islands,27,575,3,500,2016-12-31
30,chandigarh,0,0,4,778,2016-12-31
31,dadra and nagar haveli,10,273,1,316,2017-12-31
32,daman and diu,5,240,0,0,2015-12-31
33,delhi,0,0,109,24383,2015-01-01
34,lakshadweep,9,300,0,0,2016-01-01
35,pondicherry,3,96,11,3473,2016-01-01
36,india,19810,279588,3772,431173,
