,State Name,District Name,Household_Rural_Livable,Household_Rural_Dilapidated,Household_Rural_Latrine_premise,Household_Urban_Livable,Household_Urban_Dilapidated,Household_Urban_Latrine_premise,Households_Rural,Households_Urban
0,andaman and nicobar islands,south andaman,11691.835,1221.535,22580.947,10835.034,607.572,44454.018,34901.0,50631.0
1,andaman and nicobar islands,nicobars,3798.0040000000004,191.49599999999998,12910.022000000003,,,,15958.0,0.0
2,andaman and nicobar islands,north  and middle andaman,17317.313,1055.457,18763.68,611.5459999999999,72.204,613.734,39091.0,1094.0
3,andhra pradesh,chittoor,,,,58197.3,4750.8,322658.5,,395900.0
4,andhra pradesh,guntur,331661.87,44934.834,497492.805,112371.74699999999,9749.146999999999,442816.519,1069877.0,513113.0
5,andhra pradesh,anantapur,195950.349,26186.912999999997,198659.34,71359.079,4438.603,260170.422,902997.0,341431.0
6,andhra pradesh,kurnool,211640.31,25867.148999999998,216343.428,64466.22,4297.748,223175.91400000002,783853.0,306982.0
7,andhra pradesh,sri potti sriramulu nellore,192269.223,29632.891,175729.935,43886.416000000005,5023.143999999999,208328.288,689137.0,264376.0
8,andhra pradesh,prakasam,260298.828,36686.412000000004,244576.08,45386.867999999995,4281.78,165704.88600000003,873486.0,214089.0
9,andhra pradesh,y.s.r.,129338.991,15355.314000000002,167727.27599999998,54591.744000000006,3228.5440000000003,232161.664,590589.0,293504.0
10,andhra pradesh,krishna,280061.936,40008.848000000005,511022.10400000005,113975.44200000001,9639.714,527349.06,909292.0,567042.0
11,andhra pradesh,west godavari,302176.5,48348.24,593273.195,52406.70300000001,5464.206000000001,220306.85100000002,1007255.0,248373.0
12,andhra pradesh,east godavari,364641.61600000004,46779.681,563755.13,84929.658,6908.154,354754.026,1199479.0,406362.0
13,andhra pradesh,visakhapatnam,213497.55899999998,23003.104,153833.258,112283.81,7265.423000000001,551511.655,718847.0,660493.0
14,andhra pradesh,vizianagaram,183069.522,19551.113999999998,63393.005999999994,31411.2,2984.064,104285.18400000001,592458.0,157056.0
15,andhra pradesh,srikakulam,241633.392,26346.32,96352.256,32032.375999999997,2544.6279999999997,98641.75600000001,752752.0,149684.0
16,arunachal pradesh,papum pare,8996.444,812.32,11128.784,9476.52,1056.3,27675.06,20308.0,30180.0
17,arunachal pradesh,west kameng,8640.386999999999,447.225,6958.821,,,,17889.0,
18,arunachal pradesh,tawang,5032.37,439.92999999999995,7446.620000000001,613.0,14.712,2390.7,10730.0,2452.0
19,arunachal pradesh,anjaw,3181.2,361.5,1668.925,292.32399999999996,0.0,274.776,6025.0,428.0
20,arunachal pradesh,upper siang,2502.1479999999997,34.276,4824.347,1036.45,24.002000000000002,1749.964,8569.0,2182.0
21,arunachal pradesh,lohit,18177.059,2015.94,16631.505,5310.724,409.39200000000005,10143.824,33599.0,11372.0
22,arunachal pradesh,east kameng,8440.746000000001,377.07800000000003,3190.66,2466.6949999999997,130.375,3337.6,14503.0,5215.0
23,arunachal pradesh,upper subansiri,9146.918,363.55,5002.448,1798.72,56.06399999999999,3975.8719999999994,14542.0,4672.0
24,arunachal pradesh,east siang,5459.16,292.455,9241.578,5371.536,409.532,8638.268,19497.0,9524.0
25,arunachal pradesh,changlang,16644.156,568.174,21824.566000000003,2488.734,51.98400000000001,5932.674,33422.0,6498.0
26,arunachal pradesh,tirap,7975.86,184.2,15767.52,3068.0,97.5,5973.5,18420.0,6500.0
27,arunachal pradesh,lower subansiri,7281.024,271.68,12334.271999999999,1314.425,37.55499999999999,5284.525,18112.0,5365.0
28,arunachal pradesh,kurung kumey,8315.541000000001,2325.375,4371.705,542.724,55.692,880.1519999999999,18603.0,1092.0
29,arunachal pradesh,dibang valley,1021.335,147.96,1329.585,573.4,65.8,965.85,2055.0,1175.0
30,arunachal pradesh,lower dibang valley,6324.0,384.0,5760.0,1275.85,146.15,3499.7,12000.0,3950.0
31,arunachal pradesh,west siang,9176.064,178.17600000000002,15835.392,2550.9,178.563,8128.8679999999995,22272.0,8503.0
32,assam,dhubri,295706.484,81065.952,179634.78,24045.965999999997,7370.873999999999,48394.01699999999,460602.0,60417.0
33,assam,goalpara,138080.44,28804.86,141966.81,18329.856,3160.32,33578.4,228610.0,39504.0
34,assam,barpeta,282623.44800000003,84071.532,312137.922,17640.895999999997,3862.2080000000005,48434.176,447189.0,52192.0
35,assam,morigaon,145128.75,34366.488000000005,132821.83200000002,10817.7,2325.2999999999997,22823.325,232206.0,25275.0
36,assam,nagaon,400274.40699999995,93149.86200000001,485999.28,54269.282,7326.974,118225.07200000001,674999.0,124186.0
37,assam,sonitpur,280811.825,49299.15,265828.75,20778.016,2903.76,61301.6,483325.0,64528.0
38,assam,sivasagar,217189.74599999998,21971.102,258970.858,16397.108,1756.8329999999999,41983.804000000004,360182.0,45047.0
39,assam,dhemaji,140183.796,21175.8,85338.47399999999,7971.432,1188.288,15777.823999999999,211758.0,16504.0
40,assam,tinsukia,162794.24,14535.2,224714.19199999998,33727.61,4545.5,85909.95,290704.0,90910.0
41,assam,golaghat,187451.52,23138.547000000002,190673.34299999996,13231.53,1435.98,33403.63,292893.0,34190.0
42,assam,chirang,74185.35,14062.962,30964.32,4587.135,1718.724,9859.437,129018.0,11613.0
